,screen_name,favourites_count,followers_count,friends_count,statuses_count,location,full_text,lang,retweet_count,created_at,source,reply_screen_name,reply_followers_count,reply_friends_count,reply_statuses_count,reply_favourites_count,reply_created_at,reply_full_text,reply_retweet_count,reply_favorite_count
0,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Naše U hypotéka opět zaujala. Letos si tak z Finparády odnášíme druhé místo v oblasti hypoték. Děkujeme odborné porotě, ale také vám, našim klientům, za vaši celoroční zpětnou vazbu. Věříme, že díky ní to příští rok bude jasné zlato! #UniCredit #Awards #UniCredit4You https://t.co/EgNmpT5nUa",cs,0,Tue Feb 02 08:05:23 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
1,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Superhrdinové nejsou jen ti ve filmech. Hrdina je pro nás každý z řad našich zaměstnanců. I přes nečekané nástrahy a silného nepřítele v podobě COVID-19 byl rok 2020 plný úspěchů. A za každým z nich stáli právě naši zaměstnanci.
Děkujeme! 

https://t.co/DJCXtiVcaW 

#OneUnicredit",cs,1,Fri Jan 29 09:08:53 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
2,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","RT @UniCredit_PR: #Financial: Andrea Orcel designated Chief Executive Officer of #UniCredit.
📌 #PressRelease 
🗞️ https://t.co/oWf4yuECaQ ht…",en,9,Thu Jan 28 12:50:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
3,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ",RT @UniCredit_PR: #OneUniCredit: 🇸🇰 #UniCredit Bank celebrates its thirtieth anniversary in #Slovakia as a key player in the Slovak banking…,en,3,Thu Jan 28 12:32:05 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
4,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","#unicreditWay: Skupina UniCredit získala titul Top Employer in Europe v roce 2021! Dílčí ocenění získaly také jednotlivé evropské pobočky: @Bank_Austria , @HypoVereinsbank , @UniCredit_PR and @UniCredit_RS. ‍️ #dowhatmatters https://t.co/FRC1NHCCOf",cs,2,Mon Jan 25 12:47:30 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
5,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Už podruhé v řadě nás časopis Global Finance ocenil titulem „nejlepší privátní banka roku 2021 v Česku“. Děkujeme odborné porotě, ale hlavně našim talentovaným kolegům, díky kterým si můžeme připsat další úspěch! 
#UniCredit #Award https://t.co/pQ5V9OEkTK",cs,1,Mon Jan 18 08:00:06 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
6,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Tři naši kolegové, kteří zvládli téměř nemožné, se podělili o své příběhy. Od čelení prvním pozitivním případům v týmu banky po překonání uzavřených hranic.

Poslechněte si je zde:https://t.co/VTZ56wwMqW

#OneUniCredit #partofthesolution #czech #teamspirit",cs,1,Thu Jan 14 09:00:01 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
7,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ",RT @UniCredit_PR: #SocialImpactBanking: His Holiness Pope Francis met with a #UniCredit delegation led by our Chairman Cesare Bisoni and ou…,en,12,Tue Jan 12 15:43:04 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
8,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Sami jste je vybrali a právě díky vám jim věnujeme až 300 000 Kč. Až do konce února totiž putuje z každé nově aktivované VISA karty jedna koruna pro organizace Oáza Hodonín, Naděje pro děti úplňku a Klub svobodných matek. 

#BankingThatMatters #PartOfTheSolution #UniCredit4You https://t.co/XpqiHNEhMq",cs,1,Thu Jan 07 09:44:58 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
9,UniCredit_CZSK,156,2004,115,704,"Praha, Želetavská 1525/1 ","Rok 2020 nám ukázal jednu nádhernou pravdu: umět držet spolu i v nelehkých chvílích je to, na čem opravdu záleží. 

Nyní přichází další rok. Co nám přináší, s jistotou nemůžeme vědět. Ale již víme, že když jsme spolu, zvládneme cokoliv. 

#BankingThatMatters https://t.co/fA91lMM09I",cs,1,Fri Jan 01 08:00:09 +0000 2021,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
